구분,건수,죄종결과
수서,4,살인발생
수서,5,살인검거
수서,12,강도발생
수서,12,강도검거
수서,150,강간발생
수서,129,강간검거
수서,855,절도발생
수서,423,절도검거
수서,1198,폭력발생
수서,1050,폭력검거
